Precinct,Bennet,,,Biden,,,Bloomberg,,,Buttigieg,,,Delaney,,,Gabbard,,,Klobuchar,,,Patrick,,,Sanders,,,Steyer,,,Warren,,,Yang,,,Other,,,Uncommitted,,
2-CL,0,0,0,13,14,0.2333,0,0,0,4,0,0,0,0,0,0,0,0,14,19,0.35,0,0,0,16,17,0.35,3,0,0,15,15,0.35,0,0,0,0,0,0,2,2,0
8-NH,0,0,0,16,16,0.2333,0,0,0,12,19,0.2333,0,0,0,1,0,0,1,0,0,0,0,0,10,13,0.1167,0,0,0,6,0,0,4,0,0,0,0,0,0,2,0
4-AL,0,0,0,9,9,0.1167,0,0,0,11,13,0.1167,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0.1167,0,0,0,2,0,0,6,8,0.1167,0,0,0,3,0,0
3-DU,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,9,0.2333,1,0,0,4,8,0.2333,0,0,0,0,0,0,0,1,0
6-SR,0,0,0,12,12,0.2333,0,0,0,14,14,0.2333,0,0,0,0,0,0,15,15,0.2333,0,0,0,22,22,0.35,0,0,0,12,12,0.2333,0,0,0,0,0,0,0,0,0
7-PB,0,0,0,13,13,0.2333,0,0,0,9,10,0.2333,0,0,0,0,0,0,9,10,0.2333,0,0,0,14,15,0.2333,0,0,0,10,11,0.2333,3,2,0,0,0,0,3,0,0
Total,0,0,0,87,86,1.3999,0,0,0,77,83,1.2832,0,0,0,1,0,0,65,67,1.1666,0,0,0,103,109,1.75,4,0,0,69,68,1.2833,14,10,0.1167,0,0,0,8,5,0
Calhoun- Jackson- EG- LK,0,0,0,12,12,0.25,0,0,0,26,26,0.5,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0.1667,0,0,0,18,18,0.3333,0,0,0,0,0,0,1,0,0
Lincoln 1,0,0,0,8,9,0.1667,0,0,0,12,13,0.3333,0,0,0,0,0,0,8,9,0.1667,0,0,0,6,8,0.1667,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0
Greenfield & Lincoln 2,0,0,0,2,0,0,0,0,0,5,9,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Reading,0,0,0,1,0,0,0,0,0,6,6,0.0833,0,0,0,0,0,0,3,3,0.0833,0,0,0,2,2,0.0833,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Center- Logan- TL- GA- L,0,0,0,4,4,0.0833,0,0,0,4,5,0.0833,0,0,0,0,0,0,11,12,0.25,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Cedar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.0833,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sherman,0,0,0,6,7,0.0833,0,0,0,3,5,0.0833,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0833,2,0,0,0,0,0,0,0,0
Butler- Wiltdams,0,0,0,7,9,0.1667,1,0,0,11,11,0.1667,0,0,0,0,0,0,1,0,0,0,0,0,5,5,0.0833,0,0,0,6,6,0.0833,0,0,0,0,0,0,0,0,0
Rockwell City,0,0,0,10,10,0.25,0,0,0,14,14,0.4167,0,0,0,1,0,0,0,0,0,0,0,0,9,10,0.25,0,0,0,7,7,0.1667,0,0,0,0,0,0,0,0,0
Total,0,0,0,51,51,1,1,0,0,81,89,1.8333,0,0,0,1,0,0,27,28,0.5833,0,0,0,32,37,0.75,1,0,0,42,34,0.6666,4,0,0,0,0,0,1,1,0
Ewoldt,0,0,0,6,6,0.11,0,0,0,7,8,0.22,0,0,0,0,0,0,7,12,0.22,0,0,0,4,0,0,2,0,0,11,13,0.33,0,0,0,0,0,0,2,0,0
Wheatland-Kniest,0,0,0,2,0,0,0,0,0,8,10,0.11,0,0,0,0,0,0,6,6,0.11,0,0,0,4,0,0,1,0,0,3,6,0.11,3,5,0.11,0,0,0,0,0,0
Union,0,0,0,16,16,0.22,0,0,0,13,13,0.22,0,0,0,0,0,0,12,13,0.11,0,0,0,11,11,0.11,0,0,0,11,11,0.11,1,0,0,0,0,0,0,0,0
Carroll Ward One,0,0,0,38,44,0.88,0,0,0,22,34,0.66,0,0,0,0,0,0,9,0,0,0,0,0,7,3,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0
Pleasant Valley-Newton,0,0,0,4,4,0.11,0,0,0,5,5,0.11,0,0,0,0,0,0,7,7,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carroll Ward Four,0,0,0,28,28,0.44,0,0,0,16,22,0.44,0,0,0,0,0,0,12,14,0.22,0,0,0,16,19,0.33,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Sheridan-Grant-Jasper,0,0,0,10,10,0.22,0,0,0,6,10,0.22,0,0,0,0,0,0,7,7,0.11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Eden,0,0,0,6,7,0.11,1,1,0,7,12,0.11,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carroll Ward Three &amp; S1/2 Maple River Twp,0,0,0,13,13,0.22,0,0,0,21,22,0.33,0,0,0,0,0,0,12,21,0.33,0,0,0,20,29,0.55,2,0,0,10,0,0,8,0,0,0,0,0,0,0,0
Gtddden-Richland,0,0,0,4,0,0,0,0,0,8,10,0.22,0,0,0,0,0,0,8,10,0.22,0,0,0,11,11,0.33,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Total,0,0,0,127,128,2.31,1,1,0,113,146,2.64,0,0,0,0,0,0,85,90,1.43,0,0,0,74,73,1.32,6,0,0,52,30,0.55,14,5,0.11,0,0,0,3,1,0
Enda- Victoria Twp,0,0,0,0,0,0,0,0,0,3,3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Massena Twp/Massena City,0,0,0,5,5,0.12,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant- Lincoln Twp/Anita,0,0,0,10,10,0.12,0,0,0,18,18,0.36,0,0,0,0,0,0,8,8,0.12,0,0,0,9,9,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Twp/Cumberland,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Atlantic 1,0,0,0,3,9,0.12,0,0,0,7,9,0.12,0,0,0,0,0,0,3,0,0,0,0,0,21,23,0.24,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0
Atlantic 3,0,0,0,13,13,0.24,0,0,0,6,6,0.12,0,0,0,0,0,0,6,7,0.12,0,0,0,2,0,0,0,0,0,6,10,0.12,3,0,0,0,0,0,2,0,0
Brighton- Grove- Pymosa- Washington Twp/Marne,0,0,0,8,9,0.12,1,0,0,6,6,0.12,0,0,0,0,0,0,2,4,0.12,0,0,0,0,0,0,0,0,0,6,6,0.12,2,0,0,0,0,0,0,0,0
Bear Grove- Cass Twp/Lewis,0,0,0,7,7,0.12,0,0,0,5,0,0,0,0,0,0,0,0,6,11,0.12,0,0,0,2,2,0,0,0,0,7,7,0.12,0,0,0,0,0,0,0,0,0
Benton- Franktdn Twp/Wiota,0,0,0,1,0,0,0,0,0,3,5,0.12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,7,0.12,0,0,0,0,0,0,0,0,0
Noble- Pleasant Twp/Griswold,0,0,0,6,7,0.12,0,0,0,7,7,0.12,0,0,0,0,0,0,9,10,0.12,0,0,0,6,0,0,0,0,0,12,15,0.24,1,0,0,0,0,0,0,2,0
Atlantic 4,0,0,0,5,0,0,0,0,0,11,18,0.36,0,0,0,0,0,0,3,0,0,0,0,0,8,10,0.12,0,0,0,13,13,0.24,1,0,0,0,0,0,0,0,0
Total,0,0,0,58,60,0.96,1,0,0,68,74,1.44,0,0,0,0,0,0,42,42,0.72,0,0,0,52,48,0.6,0,0,0,56,60,0.96,7,0,0,0,0,0,4,2,0
CASS/CENTER/IOWA/ROCHESTER,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,20,28,0.5143,0,0,0,26,29,0.5143,3,0,0,16,16,0.3429,2,0,0,0,0,0,0,0,0
WEST BRANCH 1,0,0,0,0,0,0,0,0,0,58,58,0.6857,0,0,0,0,0,0,45,45,0.5143,0,0,0,65,65,0.6857,0,0,0,40,40,0.5143,0,0,0,0,0,0,0,0,0
FARMINGTON/SUGAR CREEK,0,0,0,7,0,0,0,0,0,25,28,0.6857,0,0,0,0,0,0,10,15,0.3429,0,0,0,9,0,0,0,0,0,17,18,0.3429,2,0,0,0,0,0,0,0,0
DAYTON/FAIRFIELD,0,0,0,4,0,0,0,0,0,15,16,0.3429,0,0,0,0,0,0,8,13,0.1714,0,0,0,9,13,0.1714,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0
TIPTON 3,0,0,0,12,13,0.1714,0,0,0,12,13,0.1714,0,0,0,1,0,0,7,10,0.1714,0,0,0,11,14,0.1714,1,0,0,12,12,0.1714,5,0,0,0,0,0,1,0,0
MASSILLON/SPRINGFIELD,0,0,0,9,10,0.1714,0,0,0,9,9,0.1714,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0.1714,0,0,0,13,13,0.1714,0,0,0,0,0,0,2,0,0
LINN/PIONEER,1,0,0,21,21,0.3429,0,0,0,16,16,0.3429,0,0,0,1,0,0,14,14,0.1714,0,0,0,13,13,0.1714,3,0,0,15,15,0.1714,0,0,0,0,0,0,0,0,0
FREMONT/RED OAK,0,0,0,10,12,0.1714,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,8,0.1714,3,0,0,3,6,0.1714,0,0,0,0,0,0,0,0,0
TIPTON 2,0,0,0,10,10,0.1714,0,0,0,19,23,0.1714,0,0,0,0,0,0,5,0,0,0,0,0,14,14,0.1714,0,0,0,12,12,0.1714,2,0,0,0,0,0,0,0,0
Total,1,0,0,81,66,1.0285,0,0,0,165,163,2.5714,0,0,0,2,0,0,110,125,1.8857,0,0,0,167,169,2.2284,12,0,0,133,132,2.0571,11,0,0,0,0,0,3,0,0
Mason City W-3 P-2,0,0,0,9,12,0.1771,0,0,0,10,18,0.3543,0,0,0,0,0,0,10,1,0,0,0,0,23,26,0.5314,0,0,0,13,17,0.3543,9,0,0,0,0,0,0,0,0
Mason City W-2 P-2,0,0,0,22,26,0.3543,5,0,0,48,54,0.7086,0,0,0,0,0,0,43,47,0.7086,0,0,0,13,0,0,2,0,0,22,34,0.5314,13,0,0,0,0,0,3,0,0
Lake / Lincoln Twps Pct,0,0,0,3,1,0,0,0,0,8,9,0.1771,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,0,6,10,0.1771,0,0,0,0,0,0,0,0,0
Portland - Owen - Dougherty,0,0,0,9,9,0.1771,0,0,0,6,8,0.1771,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,8,12,0.1771,0,0,0,0,0,0,0,0,0
Geneseo Twp Pct,0,0,0,5,5,0.1771,0,0,0,10,15,0.3543,0,0,0,0,0,0,3,0,0,0,0,0,7,10,0.3543,0,0,0,4,0,0,2,0,0,0,0,0,0,1,0
Lime Creek / Mason N Twps,0,0,0,6,0,0,0,0,0,11,17,0.1771,0,0,0,0,0,0,4,9,0.1771,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0
Mason City W-1 P-2,0,0,0,14,17,0.3543,0,0,0,24,37,0.7086,0,0,0,0,0,0,17,20,0.3543,0,0,0,21,26,0.3543,0,0,0,14,0,0,11,0,0,0,0,0,0,1,0
Mt Vernon - Pl Valley Twps,0,0,0,2,0,0,0,0,0,3,8,0.1771,0,0,0,0,0,0,4,4,0.1771,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0
Mason City W-3 P-3,0,0,0,22,23,0.3543,0,0,0,32,35,0.7086,0,0,0,0,0,0,37,49,0.8857,0,0,0,27,35,0.5314,0,0,0,16,0,0,10,0,0,0,0,0,0,0,0
Clear Lake - Ward 2,0,0,0,21,21,0.3543,2,0,0,39,49,0.7086,0,0,0,0,0,0,30,36,0.5314,0,0,0,26,27,0.3543,1,0,0,12,0,0,4,0,0,0,0,0,0,0,0
Clear Lake - Ward 3,0,0,0,21,21,0.3543,0,0,0,18,19,0.3543,0,0,0,0,0,0,18,23,0.3543,0,0,0,25,28,0.5314,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0
Clear Lake - Grant - Union,0,0,0,21,23,0.3543,0,0,0,21,27,0.3543,0,0,0,1,0,0,19,21,0.3543,0,0,0,13,15,0.1771,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0
Mason City W-1 P-3,0,0,0,27,28,0.3543,0,0,0,51,57,0.8857,0,0,0,0,0,0,51,53,0.7086,0,0,0,16,12,0,0,0,0,9,6,0,2,0,0,0,0,0,1,1,0
Mason City W-4 P-2,0,0,0,9,9,0.1771,0,0,0,10,12,0.3543,0,0,0,0,0,0,13,16,0.5314,0,0,0,18,19,0.5314,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0
Mason City W-4 P-3,0,0,0,32,34,0.7086,0,0,0,18,19,0.3543,0,0,0,2,0,0,22,25,0.5314,0,0,0,20,22,0.3543,2,0,0,3,0,0,7,0,0,0,0,0,0,0,0
Grimes - Thornton Pct,0,0,0,6,6,0.1771,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
Mason City W-3 P-1,0,0,0,22,23,0.3543,0,0,0,28,31,0.5314,0,0,0,2,0,0,19,22,0.3543,0,0,0,34,45,0.7086,0,0,0,9,0,0,8,0,0,0,0,0,0,1,0
Mason City W-1 P-1,0,0,0,9,0,0,0,0,0,18,19,0.3543,0,0,0,0,0,0,21,32,0.5314,0,0,0,21,21,0.3543,0,0,0,5,0,0,13,15,0.1771,0,0,0,0,0,0
Total,0,0,0,260,258,4.4285,7,0,0,355,434,7.44,0,0,0,5,0,0,316,360,6.1999,0,0,0,281,287,4.7828,8,1,0,140,80,1.2399,94,16,0.1771,0,0,0,5,10,0
1 Auretda,0,0,0,3,9,0.2182,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,19,21,0.4364,2,0,0,6,8,0.2182,2,0,0,0,0,0,0,0,0
5 Cherokee Ward 1,0,0,0,19,20,0.3273,0,0,0,12,15,0.3273,0,0,0,0,0,0,13,13,0.2182,0,0,0,8,0,0,0,0,0,2,0,0,8,11,0.2182,0,0,0,0,0,0
3 Quimby,0,0,0,9,10,0.2182,0,0,0,6,6,0.1091,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.1091,4,4,0.1091,1,0,0,0,0,0,0,0,0,1,1,0
Total,0,0,0,31,39,0.7637,0,0,0,20,21,0.4364,0,0,0,0,0,0,17,13,0.2182,0,0,0,31,25,0.5455,6,4,0.1091,9,8,0.2182,10,11,0.2182,0,0,0,1,1,0
Dresden-Fredericksburg,0,0,0,8,9,0.14,0,0,0,10,14,0.28,0,0,0,0,0,0,8,11,0.21,0,0,0,5,0,0,3,0,0,6,10,0.21,4,0,0,0,0,0,0,0,0
Jacksonville-Utica,0,0,0,1,0,0,0,0,0,3,4,0.07,0,0,0,0,0,0,2,2,0.07,0,0,0,3,3,0.07,0,0,0,3,3,0.07,0,0,0,0,0,0,0,0,0
Stapleton,0,0,0,9,9,0.21,0,0,0,16,16,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.07,0,0,0,0,0,0,0,0,0
Washington 1 Township,0,0,0,0,0,0,0,0,0,7,8,0.07,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.07,0,0,0,4,4,0.07,1,0,0,0,0,0,0,0,0
Bradford,0,0,0,13,13,0.28,0,0,0,16,16,0.35,0,0,0,0,0,0,11,12,0.28,0,0,0,1,1,0,1,0,0,17,17,0.35,0,0,0,0,0,0,0,0,0
City of New Hampton Ward One,0,0,0,9,11,0.21,1,0,0,9,12,0.21,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,1,0,0,8,13,0.21,1,0,0,0,0,0,0,0,0
New Hampton Rural,0,0,0,4,4,0.07,0,0,0,5,7,0.14,0,0,0,0,0,0,4,4,0.07,0,0,0,3,3,0.07,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deerfield-Washington 2,0,0,0,4,4,0.07,0,0,0,7,7,0.14,0,0,0,0,0,0,4,4,0.07,0,0,0,0,0,0,5,6,0.14,0,0,0,0,0,0,0,0,0,1,0,0
Chickasaw,0,0,0,3,3,0.07,0,0,0,4,7,0.14,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.07,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
City of New Hampton Ward Two,0,0,0,2,0,0,0,0,0,6,7,0.14,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.14,4,4,0.07,5,6,0.14,0,0,0,0,0,0,0,0,0
Total,0,0,0,53,53,1.05,1,0,0,83,98,1.82,0,0,0,0,0,0,33,33,0.7,0,0,0,27,19,0.42,16,10,0.21,50,58,1.12,6,0,0,0,0,0,2,0,0
Middle Precinct,0,0,0,1,0,0,0,0,0,6,7,0.24,0,0,0,0,0,0,5,5,0.16,0,0,0,3,4,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osceola 3rd Ward Precinct,0,0,0,6,0,0,0,0,0,17,22,0.24,0,0,0,0,0,0,13,24,0.24,0,0,0,16,18,0.16,5,0,0,10,0,0,9,12,0.16,0,0,0,0,0,0
Osceola 2nd Ward Precinct,0,0,0,7,7,0.08,0,0,0,9,9,0.16,0,0,0,0,0,0,6,8,0.16,0,0,0,10,12,0.16,0,0,0,5,0,0,6,7,0.08,0,0,0,0,0,0
Woodburn Precinct,0,0,0,3,0,0,0,0,0,8,8,0.08,0,0,0,0,0,0,3,5,0.08,0,0,0,3,3,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North East Precinct,0,0,0,10,10,0.16,0,0,0,8,8,0.16,0,0,0,0,0,0,6,6,0.08,0,0,0,8,8,0.16,0,0,0,7,7,0.16,1,1,0,0,0,0,0,0,0
Total,0,0,0,27,17,0.24,0,0,0,48,54,0.88,0,0,0,0,0,0,33,48,0.72,0,0,0,40,45,0.64,6,0,0,22,7,0.16,16,20,0.24,0,0,0,0,0,0
Lincoln-Clay,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,3,0.0941,0,0,0,3,3,0.0941,0,0,0,4,5,0.0941,4,4,0.0941,0,0,0,0,0,0
Spencer Ward 1,0,0,0,11,11,0.1882,0,0,0,15,19,0.2824,0,0,0,0,0,0,5,0,0,0,0,0,18,19,0.2824,1,0,0,12,14,0.1882,2,0,0,0,0,0,0,1,0
Logan-Gillett Grove,1,0,0,3,6,0.0941,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.0941,0,0,0,0,0,0,0,0,0
Spencer Ward 2,0,0,0,14,14,0.2824,0,0,0,13,20,0.3765,0,0,0,0,0,0,8,0,0,0,0,0,18,19,0.2824,0,0,0,13,13,0.1882,4,0,0,0,0,0,0,0,0
Summit-Riverton-Sioux-Meadow,0,0,0,8,9,0.1882,0,0,0,10,17,0.3765,0,0,0,0,0,0,6,7,0.0941,0,0,0,5,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0
Garfield-Herdland,0,0,0,6,8,0.0941,0,0,0,3,0,0,0,0,0,0,0,0,4,6,0.0941,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Spencer Ward 3,0,0,0,19,19,0.2824,0,0,0,17,17,0.1882,0,0,0,0,0,0,14,20,0.2824,0,0,0,24,25,0.3765,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0
Spencer Ward 5,0,0,0,18,19,0.2824,0,0,0,14,16,0.2824,0,0,0,0,0,0,18,21,0.3765,0,0,0,15,15,0.2824,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Total,1,0,0,80,86,1.4118,1,0,0,76,89,1.506,0,0,0,0,0,0,57,57,0.9412,0,0,0,85,81,1.3178,1,0,0,51,37,0.5646,13,6,0.0941,0,0,0,0,1,0
BOARDMAN-HIGHLAND,0,0,0,28,28,0.3333,0,0,0,40,42,0.5,0,0,0,0,0,0,24,28,0.3333,0,0,0,27,31,0.3333,3,0,0,11,0,0,2,0,0,0,0,0,0,0,0
CASS,0,0,0,14,14,0.1667,0,0,0,22,22,0.3333,0,0,0,1,0,0,10,10,0.1667,0,0,0,13,13,0.1667,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
MENDON,0,0,0,8,0,0,0,0,0,36,40,0.6667,0,0,0,0,0,0,14,17,0.3333,0,0,0,15,19,0.3333,2,0,0,5,0,0,0,0,0,0,0,0,0,4,0
JEFFERSON-MILLVILLE,0,0,0,22,29,0.5,0,0,0,38,42,0.6667,0,0,0,0,0,0,24,29,0.5,0,0,0,18,19,0.3333,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0
LODOMILLO,0,0,0,5,5,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0.1667,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
ELK-MALLORY-VOLGA,0,0,0,7,8,0.1667,0,0,0,5,0,0,0,0,0,0,0,0,6,14,0.1667,0,0,0,7,9,0.1667,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
FARMERSBURG-WAGNER,0,0,0,5,7,0.1667,0,0,0,12,16,0.1667,0,0,0,0,0,0,2,0,0,0,0,0,4,6,0.1667,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
GIARD-LUANA-MONONA,0,0,0,5,0,0,0,0,0,32,34,0.6667,0,0,0,0,0,0,10,13,0.1667,0,0,0,11,11,0.1667,2,0,0,11,11,0.1667,1,0,0,0,0,0,0,3,0
COX CREEK-SPERRY,0,0,0,3,0,0,0,0,0,6,7,0.1667,0,0,0,0,0,0,5,10,0.1667,0,0,0,1,0,0,1,0,0,6,7,0.1667,0,0,0,0,0,0,3,1,0
Total,0,0,0,97,91,1.5001,0,0,0,191,203,3.1668,0,0,0,1,0,0,101,127,2.0001,0,0,0,97,109,1.6667,19,0,0,56,18,0.3334,3,0,0,1,0,0,4,8,0
OLIVE GRANT CALAMUS,0,0,0,3,13,0.2214,0,0,0,6,0,0,0,0,0,0,0,0,7,3,0,0,0,0,4,4,0,1,0,0,8,11,0.2214,0,0,0,0,0,0,2,0,0
CLINTON 1-2,0,0,0,14,18,0.4429,0,0,0,14,18,0.4429,0,0,0,0,0,0,4,0,0,0,0,0,27,30,0.6643,0,0,0,16,17,0.4429,5,0,0,0,0,0,3,0,0
DEWITT 1,0,0,0,17,17,0.2214,0,0,0,29,34,0.6643,0,0,0,0,0,0,15,16,0.2214,0,0,0,17,17,0.4429,0,0,0,15,16,0.2214,4,0,0,0,0,0,3,0,0
CLINTON 2-1,0,0,0,9,0,0,2,0,0,15,17,0.4429,0,0,0,0,0,0,9,15,0.2214,0,0,0,26,20,0.4429,5,0,0,15,20,0.4429,8,8,0,0,0,0,1,0,0
CLINTON 2-2,0,0,0,40,47,0.6643,0,0,0,36,48,0.8857,0,0,0,0,0,0,13,0,0,0,0,0,38,41,0.6643,9,0,0,21,32,0.4429,14,0,0,0,0,0,1,0,0
BLOOMFIELD BROOKFIELD DEL,0,0,0,7,7,0.2214,0,0,0,13,13,0.2214,0,0,0,0,0,0,2,2,0,0,0,0,3,3,0,0,0,0,6,6,0.2214,0,0,0,0,0,0,2,2,0
CLINTON 4-1,0,0,0,25,27,0.4429,0,0,0,27,27,0.4429,0,0,0,0,0,0,22,25,0.4429,0,0,0,29,31,0.4429,2,0,0,22,25,0.4429,10,0,0,0,0,0,0,0,0
LIBERTY TORONTO,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,0.2214,0,0,0,4,4,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0
WATERFORD CHARLOTTE,0,0,0,3,3,0,0,0,0,6,10,0.2214,0,0,0,0,0,0,3,0,0,0,0,0,4,4,0,1,1,0,2,2,0,2,0,0,0,0,0,1,2,0
CAMANCHE 1,0,0,0,12,18,0.4429,0,0,0,16,19,0.4429,0,0,0,0,0,0,11,14,0.4429,0,0,0,12,15,0.4429,5,0,0,7,0,0,4,0,0,0,0,0,1,0,0
DEWITT 2,0,0,0,36,36,0.6643,0,0,0,41,46,0.6643,0,0,0,0,0,0,25,34,0.4429,0,0,0,25,30,0.4429,2,0,0,14,0,0,9,0,0,0,0,0,0,4,0
LOW MOOR,0,0,0,1,1,0,0,0,0,2,2,0.2214,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CLINTON 1-1,0,0,0,12,16,0.4429,0,0,0,15,18,0.4429,0,0,0,0,0,0,3,0,0,0,0,0,19,21,0.4429,0,0,0,8,0,0,9,10,0.2214,0,0,0,0,1,0
DEEP CREEK GOOSE LAKE,0,0,0,6,6,0.2214,0,0,0,3,6,0.2214,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ORANGE GRAND MOUND,0,0,0,7,9,0.2214,0,0,0,6,10,0.2214,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0.2214,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0
WELTON WASHINGTON WELTON,0,0,0,7,8,0.2214,0,0,0,6,13,0.2214,0,0,0,0,0,0,4,0,0,0,0,0,5,7,0.2214,3,0,0,3,0,0,1,0,0,0,0,0,0,1,0
SHARON LOST NATION,0,0,0,3,0,0,0,0,0,7,21,0.2214,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
CAMANCHE 2,0,0,0,19,22,0.6643,0,0,0,12,18,0.4429,0,0,0,0,0,0,3,0,0,0,0,0,10,15,0.4429,3,0,0,6,0,0,3,0,0,0,0,0,0,0,0
SPRING ROCK WHEATLAND,0,0,0,4,7,0.2214,0,0,0,7,8,0.2214,0,0,0,0,0,0,3,0,0,0,0,0,9,10,0.2214,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
CENTER TWP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,9,0.2214,2,5,0,3,0,0,1,0,0,0,0,0,0,0,0
CLINTON 3-1,0,0,0,35,37,0.4429,0,0,0,30,31,0.4429,0,0,0,1,0,0,25,38,0.6643,0,0,0,45,49,0.6643,6,0,0,16,3,0,3,0,0,0,0,0,0,0,0
Total,0,0,0,262,293,5.7572,2,0,0,294,362,7.0858,0,0,0,1,0,0,154,148,2.6572,0,0,0,296,321,5.9788,45,9,0,179,134,2.4358,73,18,0.2214,0,0,0,14,10,0
SRK,0,0,0,9,9,0.15,0,0,0,4,7,0.15,0,0,0,0,0,0,4,4,0.15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denison Ward 3-Goodrich Twp,0,0,0,27,29,0.6,0,0,0,10,12,0.15,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0.45,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
